variables,type,units,values,description
towerse.z_global,output,m,"[15.0, 16.062629943333334, 17.125259886666665, 18.18788983, 19.868327876666665, 21.548765923333335, 23.22920397, 24.909642016666666, 26.590080063333335, 28.27051811, 29.950956160000004, 31.631394210000003, 33.31183226, 34.99227030666667, 36.672708353333334, 38.3531464, 40.033584450000006, 41.7140225, 43.394460550000005, 45.07489859666667, 46.75533664333334, 48.43577469, 50.11621273666667, 51.796650783333334, 53.47708883, 55.157526880000006, 56.83796493, 58.518402980000005, 60.19884102666666, 61.879279073333336, 63.55971712, 65.24015517, 66.92059322, 68.60103127, 70.28146931666666, 71.96190736333332, 73.64234540999999, 75.32278345666666, 77.00322150333334, 78.68365955, 80.36409760000001, 82.04453565, 83.7249737, 85.40541174666667, 87.08584979333334, 88.76628784, 90.44672589, 92.12716394, 93.80760199, 95.48804003666667, 97.16847808333333, 98.84891613, 100.52935417666667, 102.20979222333332, 103.89023027, 105.57066832, 107.25110637, 108.93154442, 110.61198246666667, 112.29242051333333, 113.97285855999999, 115.65329660666667, 117.33373465333332, 119.0141727, 120.69461075, 122.3750488, 124.05548685, 125.73592489666667, 127.41636294333333, 129.09680099, 130.77723903999998, 132.45767708999998, 134.13811513999997, 135.81855318666663, 137.49899123333333, 139.17942928, 140.8598673266667, 142.54030537333333, 144.22074342, 145.90118146999998, 147.58161952, 149.26205757, 150.94249561666666, 152.62293366333333, 154.30337171, 155.98380975999999, 157.66424781, 159.34468586, 161.02512390666666, 162.70556195333333, 164.386]",
towerse.yaw,input,deg,0.0,
towerse.env.Uref,input,m/s,20.847725218270416,
towerse.wind_reference_height,input,m,170.0,
towerse.z0,input,m,0.0,
towerse.shearExp,input,,0.12,
towerse.env.windLoads.U,input,m/s,"[15.578862877477219, 15.707345699829762, 15.828554801223445, 15.943317007684696, 16.11328771625304, 16.27104671978434, 16.41832782383661, 16.556514050111435, 16.68672700949699, 16.80988939113023, 16.926769748828573, 17.038015296605415, 17.144176383074374, 17.245725061656234, 17.34306939391869, 17.436564612670097, 17.526521941556517, 17.61321563810151, 17.696888675956153, 17.777757369599744, 17.85601517133487, 17.93183581129613, 18.00537591403852, 18.076777192779517, 18.14616830092477, 18.213666403512256, 18.279378517473017, 18.343402661663287, 18.405828847055194, 18.46673993421589, 18.52621237774063, 18.584316876278024, 18.641118941174195, 18.69667939682824, 18.751054821316195, 18.804297936645554, 18.85645795435916, 18.907580883429453, 18.95770980484878, 19.006885117247123, 19.055144757237795, 19.10252439710475, 19.149057623453427, 19.194776098061, 19.239709703854377, 19.283886676731594, 19.327333725732526, 19.37007614197862, 19.41213789848925, 19.45354174092979, 19.49430927102703, 19.534461022520965, 19.574016531174397, 19.612994399035188, 19.651412353578802, 19.68928730228937, 19.726635382735175, 19.76347200927774, 19.79981191592848, 19.83566919640286, 19.871057340848633, 19.905989270224698, 19.940477368189104, 19.974533510772094, 20.008169094083236, 20.041395059884945, 20.074221919851713, 20.10665977791425, 20.13871835147144, 20.170406990868933, 20.201734697957217, 20.232710143186345, 20.263341682011504, 20.293637370001317, 20.323604977334988, 20.35325200208758, 20.382585682968937, 20.411613011267246, 20.44034074210895, 20.46877540513774, 20.49692331437388, 20.52479057785906, 20.55238310650096, 20.579706622709693, 20.606766668251247, 20.63356861195076, 20.66011765673017, 20.686418846593728, 20.712477072997725, 20.738297081152627, 20.763883475705267]",
towerse.outer_diameter_full,output,m,"[10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 10.0, 9.970698007231997, 9.941396014463992, 9.912094021695989, 9.874351925707822, 9.836609829719658, 9.798867733731491, 9.760316005629246, 9.721764277526999, 9.683212549424754, 9.643812750436652, 9.60441295144855, 9.565013152460448, 9.524723115380953, 9.484433078301459, 9.444143041221963, 9.402916452111272, 9.361689863000581, 9.32046327388989, 9.278249047858056, 9.236034821826221, 9.193820595794387, 9.150562258948106, 9.107303922101828, 9.064045585255547, 9.01968036864974, 8.975315152043931, 8.930949935438123, 8.885407881254249, 8.839865827070374, 8.7943237728865, 8.747526275308687, 8.700728777730871, 8.653931280153058, 8.605789962792752, 8.557648645432444, 8.509507328072138, 8.459920955792079, 8.410334583512022, 8.360748211231963, 8.309602951509001, 8.258457691786038, 8.207312432063077, 8.154470736222205, 8.101629040381331, 8.04878734454046, 7.994104269645487, 7.939421194750516, 7.884738119855545, 7.8279972313183475, 7.7712563427811485, 7.714515454243951, 7.6555782373551144, 7.596641020466278, 7.5377038035774415, 7.476056849535528, 7.414409895493614, 7.352762941451701, 7.288712511885529, 7.224662082319357, 7.160611652753185, 7.091865290312079, 7.023118927870972, 6.954372565429866, 6.885413546099306, 6.816454526768748, 6.747495507438188, 6.6630193389603605, 6.578543170482531, 6.494067002004703, 6.386512659334583, 6.278958316664464, 6.171403973994344, 6.114269315996229, 6.057134657998115, 6.000000000000001, 6.000000000000001, 6.000000000000001, 6.000000000000001, 6.000000000000001, 6.000000000000001, 6.000000000000001, 6.000000000000001, 6.000000000000001, 6.000000000000001]",
towerse.beta_wind,input,deg,0.0,
towerse.rho_air,input,kg/m**3,1.225,
